Date,Hawaii,Honolulu,Kalawao,Kauai,Maui,Total
6/21/20,85,566,0,29,122,802.0
6/22/20,85,568,0,29,122,804.0
6/23/20,85,571,0,29,122,807.0
6/24/20,86,584,0,29,122,821.0
6/25/20,86,595,0,34,122,837.0
6/26/20,86,608,0,34,122,850.0
6/27/20,86,613,0,35,122,856.0
6/28/20,87,636,0,37,123,883.0
6/29/20,87,638,0,37,122,884.0
6/30/20,87,652,0,38,123,900.0
7/1/20,87,659,0,38,125,909.0
7/2/20,90,676,0,38,125,929.0
7/3/20,91,701,0,38,127,957.0
7/4/20,93,720,0,40,128,981.0
7/5/20,93,744,0,40,128,1005.0
7/6/20,94,750,0,40,128,1012.0
7/7/20,95,788,0,42,128,1053.0
7/8/20,96,808,0,42,130,1076.0
7/9/20,97,842,0,43,130,1112.0
7/10/20,98,867,0,43,131,1139.0
7/11/20,100,905,0,43,133,1181.0
7/12/20,101,923,0,43,134,1201.0
7/13/20,102,942,0,43,135,1222.0
7/14/20,105,960,0,43,135,1243.0
7/15/20,107,986,0,43,135,1271.0
7/16/20,107,1002,0,43,135,1287.0
7/17/20,109,1025,0,43,135,1312.0
7/18/20,111,1040,0,43,135,1329.0
7/19/20,113,1065,0,43,135,1356.0
7/20/20,114,1079,0,43,135,1371.0
7/21/20,114,1100,0,43,139,1396.0
7/22/20,114,1117,0,43,139,1413.0
7/23/20,117,1167,0,43,141,1468.0
7/24/20,117,1225,0,43,141,1526.0
7/25/20,117,1291,0,43,146,1597.0
7/26/20,117,1345,0,45,153,1660.0
7/27/20,117,1373,0,45,153,1688.0
7/28/20,116,1419,0,45,154,1734.0
7/29/20,116,1516,0,47,163,1842.0
7/30/20,115,1637,0,47,167,1966.0
7/31/20,115,1755,0,47,171,2088.0
8/1/20,115,1842,0,47,170,2174.0
8/2/20,115,1886,0,47,171,2219.0
8/3/20,117,2083,0,47,178,2425.0
8/4/20,122,2221,0,47,178,2568.0
8/5/20,122,2394,0,47,177,2740.0
8/6/20,123,2541,0,47,180,2891.0
8/7/20,123,2741,0,47,181,3092.0
8/8/20,128,2964,0,47,184,3323.0
8/9/20,131,3111,0,48,185,3475.0
8/10/20,131,3249,0,49,186,3615.0
8/11/20,133,3361,0,49,190,3733.0
8/12/20,135,3558,0,51,191,3935.0
8/13/20,139,3900,0,52,198,4289.0
8/14/20,144,4117,0,53,206,4520.0
8/15/20,145,4390,0,54,213,4802.0
8/16/20,148,4591,0,54,226,5019.0
8/17/20,149,4754,0,54,235,5192.0
8/18/20,152,4878,0,54,242,5326.0
8/19/20,159,5111,0,54,262,5586.0
8/20/20,164,5340,0,54,263,5821.0
8/21/20,177,5547,0,56,269,6049.0
8/22/20,192,5806,0,56,279,6333.0
8/23/20,200,6031,0,56,290,6577.0
8/24/20,209,6181,0,56,300,6746.0
8/25/20,220,6382,0,56,303,6961.0
8/26/20,243,6626,0,56,311,7236.0
8/27/20,253,6915,0,56,318,7542.0
8/28/20,279,7147,0,56,324,7806.0
8/29/20,318,7410,0,57,330,8115.0
8/30/20,340,7584,0,57,334,8315.0
8/31/20,364,7691,0,57,335,8447.0
9/1/20,383,7848,0,57,340,8628.0
9/2/20,418,8149,0,57,342,8966.0
9/3/20,435,8339,0,57,346,9177.0
9/4/20,469,8575,0,57,347,9448.0
9/5/20,493,8765,0,57,352,9667.0
9/6/20,506,8911,0,58,354,9829.0
9/7/20,517,9000,0,58,358,9933.0
9/8/20,523,9058,0,58,360,9999.0
9/9/20,533,9146,0,58,360,10097.0
9/10/20,541,9304,0,58,363,10266.0
9/11/20,562,9446,0,58,367,10433.0
9/12/20,572,9559,0,58,373,10562.0
9/13/20,587,9654,0,58,375,10674.0
9/14/20,594,9723,0,58,378,10753.0
9/15/20,599,9782,0,58,378,10817.0
9/16/20,603,9879,0,58,378,10918.0
