Date,Kent,New Castle,Sussex,Total
6/27/20,1652,4871,4542,11065.0
6/28/20,1663,4925,4608,11196.0
6/29/20,1672,5031,4637,11340.0
6/30/20,1690,5065,4681,11436.0
7/1/20,1699,5079,4690,11468.0
7/2/20,1716,5183,4779,11678.0
7/3/20,1730,5277,4847,11854.0
7/4/20,1735,5334,4854,11923.0
7/5/20,1746,5398,4903,12047.0
7/6/20,1761,5489,4952,12202.0
7/7/20,1784,5555,4977,12316.0
7/8/20,1790,5583,4988,12361.0
7/9/20,1795,5626,5008,12429.0
7/10/20,1815,5688,5045,12548.0
7/11/20,1829,5732,5076,12637.0
7/12/20,1848,5759,5093,12700.0
7/13/20,1857,5797,5119,12773.0
7/14/20,1865,5860,5130,12855.0
7/15/20,1876,5904,5153,12933.0
7/16/20,1887,5935,5171,12993.0
7/17/20,1978,5981,5244,13203.0
7/18/20,1995,6028,5264,13287.0
7/19/20,2000,6070,5304,13374.0
7/20/20,2013,6125,5333,13471.0
7/21/20,2017,6206,5365,13588.0
7/22/20,2025,6231,5375,13631.0
7/23/20,2058,6296,5407,13761.0
7/24/20,2102,6408,5508,14018.0
7/25/20,2091,6414,5488,13993.0
7/26/20,2117,6480,5506,14103.0
7/27/20,2125,6560,5529,14214.0
7/28/20,2132,6588,5564,14284.0
7/29/20,2142,6682,5575,14399.0
7/30/20,2151,6743,5583,14477.0
7/31/20,2167,6794,5608,14569.0
8/1/20,2183,6843,5630,14656.0
8/2/20,2199,6868,5656,14723.0
8/3/20,2215,6938,5673,14826.0
8/4/20,2226,6994,5685,14905.0
8/5/20,2238,7042,5778,15058.0
8/6/20,2247,7092,5786,15125.0
8/7/20,2268,7130,5803,15201.0
8/8/20,2277,7161,5821,15259.0
8/9/20,2287,7206,5839,15332.0
8/10/20,2294,7243,5848,15385.0
8/11/20,2306,7276,5867,15449.0
8/12/20,2319,7309,5881,15509.0
8/13/20,2402,7379,5928,15709.0
8/14/20,2463,7450,6167,16080.0
8/15/20,2475,7490,6172,16137.0
8/16/20,2485,7524,6181,16190.0
8/17/20,2496,7580,6197,16273.0
8/18/20,2503,7617,6209,16329.0
8/19/20,2505,7661,6213,16379.0
8/20/20,2525,7705,6221,16451.0
8/21/20,2529,7737,6235,16501.0
8/22/20,2543,7771,6242,16556.0
8/23/20,2551,7826,6245,16622.0
8/24/20,2553,7865,6249,16667.0
8/25/20,2556,7890,6239,16685.0
8/26/20,2560,7925,6225,16710.0
8/27/20,2566,7927,6208,16701.0
8/28/20,2578,7989,6237,16804.0
8/29/20,2612,8109,6350,17071.0
8/30/20,2608,8139,6317,17064.0
8/31/20,2624,8190,6330,17144.0
9/1/20,2639,8250,6357,17246.0
9/2/20,2639,8285,6335,17259.0
9/3/20,2655,8360,6346,17361.0
9/4/20,2678,8415,6365,17458.0
9/5/20,2699,8516,6374,17589.0
9/6/20,2712,8601,6396,17709.0
9/7/20,2720,8656,6420,17796.0
9/8/20,2727,8694,6432,17853.0
9/9/20,2727,8694,6432,17853.0
9/10/20,2744,8805,6456,18005.0
9/11/20,2747,8880,6471,18098.0
9/12/20,2782,8989,6491,18262.0
9/13/20,2788,9092,6504,18384.0
9/14/20,2802,9146,6519,18467.0
9/15/20,2815,9262,6567,18644.0
9/16/20,2827,9351,6578,18756.0
